0	,-1.5708	,0	,-1.5708	,0	,0	,
0.0156745	,-1.57428	,-0.00352316	,-1.57082	,2.25e-06	,-7.8475e-05	,
0.0312818	,-1.57775	,-0.00711131	,-1.57088	,9e-06	,-0.0003139	,
0.0468221	,-1.58121	,-0.0107645	,-1.57097	,2.025e-05	,-0.000706275	,
0.0622954	,-1.58466	,-0.0144826	,-1.57111	,3.6e-05	,-0.0012556	,
0.0777015	,-1.5881	,-0.0182657	,-1.57129	,5.625e-05	,-0.00196188	,
0.0930406	,-1.59153	,-0.0221138	,-1.57151	,8.1e-05	,-0.0028251	,
0.108313	,-1.59494	,-0.026027	,-1.57176	,0.00011025	,-0.00384528	,
0.123517	,-1.59834	,-0.0300051	,-1.57206	,0.000144	,-0.0050224	,
0.138655	,-1.60173	,-0.0340482	,-1.57239	,0.00018225	,-0.00635647	,
0.153726	,-1.60511	,-0.0381563	,-1.57277	,0.000225	,-0.0078475	,
0.16873	,-1.60847	,-0.0423294	,-1.57318	,0.00027225	,-0.00949547	,
0.183666	,-1.61182	,-0.0465674	,-1.57364	,0.000324	,-0.0113004	,
0.198536	,-1.61517	,-0.0508705	,-1.57413	,0.00038025	,-0.0132623	,
0.213338	,-1.61849	,-0.0552386	,-1.57466	,0.000441	,-0.0153811	,
0.228074	,-1.62181	,-0.0596717	,-1.57524	,0.00050625	,-0.0176569	,
0.242742	,-1.62512	,-0.0641697	,-1.57585	,0.000576	,-0.0200896	,
0.257343	,-1.62841	,-0.0687328	,-1.5765	,0.00065025	,-0.0226793	,
0.271877	,-1.63169	,-0.0733608	,-1.57719	,0.000729	,-0.0254259	,
0.286344	,-1.63496	,-0.0780539	,-1.57792	,0.00081225	,-0.0283295	,
0.300744	,-1.63822	,-0.0828119	,-1.57869	,0.0009	,-0.03139	,
0.315077	,-1.64147	,-0.0876349	,-1.5795	,0.00099225	,-0.0346075	,
0.329343	,-1.6447	,-0.0925229	,-1.58035	,0.001089	,-0.0379819	,
